bits, path
158036, sub-32159_ses-02/dwi/connectomes
159100, sub-04209_ses-02/dwi/connectomes
159356, sub-28982_ses-02/dwi/connectomes
160421, sub-04201_ses-02/dwi/connectomes
161316, sub-29096_ses-02/dwi/connectomes
161580, sub-36966_ses-02/dwi/connectomes
161820, sub-34273_ses-02/dwi/connectomes
162748, sub-36144_ses-02/dwi/connectomes
163372, sub-04171_ses-02/dwi/connectomes
163596, sub-35538_ses-02/dwi/connectomes
163892, sub-36487_ses-02/dwi/connectomes
163972, sub-04204_ses-02/dwi/connectomes
164100, sub-27934_ses-02/dwi/connectomes
164196, sub-04170_ses-02/dwi/connectomes
164532, sub-35557_ses-02/dwi/connectomes
164772, sub-34736_ses-02/dwi/connectomes
165148, sub-34359_ses-02/dwi/connectomes
165452, sub-29332_ses-02/dwi/connectomes
165468, sub-04165_ses-02/dwi/connectomes
165588, sub-04178_ses-02/dwi/connectomes
165868, sub-37348_ses-02/dwi/connectomes
165956, sub-04166_ses-02/dwi/connectomes
166732, sub-04211_ses-02/dwi/connectomes
166748, sub-26896_ses-02/dwi/connectomes
168092, sub-27960_ses-02/dwi/connectomes
191709, sub-04209_ses-02/anat/surfaces
193189, sub-04201_ses-02/anat/surfaces
194949, sub-33789_ses-02/anat/surfaces
195165, sub-36144_ses-02/anat/surfaces
195493, sub-37130_ses-02/anat/surfaces
195717, sub-34736_ses-02/anat/surfaces
195765, sub-34359_ses-02/anat/surfaces
196013, sub-27934_ses-02/anat/surfaces
196261, sub-04170_ses-02/anat/surfaces
196485, sub-34273_ses-02/anat/surfaces
196541, sub-36966_ses-02/anat/surfaces
196677, sub-04204_ses-02/anat/surfaces
196685, sub-32436_ses-02/anat/surfaces
196989, sub-27960_ses-02/anat/surfaces
197349, sub-31730_ses-02/anat/surfaces
197389, sub-29096_ses-02/anat/surfaces
197710, sub-04165_ses-02/anat
197957, sub-36487_ses-02/anat/surfaces
197981, sub-04211_ses-02/anat/surfaces
198229, sub-32159_ses-02/anat/surfaces
198317, sub-35557_ses-02/anat/surfaces
198597, sub-35538_ses-02/anat/surfaces
198669, sub-04181_ses-02/anat/surfaces
199205, sub-04166_ses-02/anat/surfaces
199325, sub-28982_ses-02/anat/surfaces
199757, sub-27869_ses-02/anat/surfaces
199829, sub-26896_ses-02/anat/surfaces
200997, sub-29332_ses-02/anat/surfaces
201485, sub-04178_ses-02/anat/surfaces
201885, sub-04210_ses-02/anat/surfaces
202469, sub-37348_ses-02/anat/surfaces
206629, sub-04171_ses-02/anat/surfaces
223810, sub-32310_ses-02/QC/png
229839, sub-32310_ses-02/QC
306947, sub-37348_ses-02/dwi/eddy
307619, sub-35353_ses-02/dwi/eddy
314163, sub-34736_ses-02/anat
319547, sub-37130_ses-02/anat
323219, sub-36144_ses-02/anat
324043, sub-27934_ses-02/anat
326435, sub-28982_ses-02/anat
326595, sub-26896_ses-02/anat
327059, sub-36487_ses-02/anat
327643, sub-31730_ses-02/anat
328355, sub-34359_ses-02/anat
330955, sub-32159_ses-02/anat
331219, sub-34273_ses-02/anat
337251, sub-29096_ses-02/anat
338179, sub-32436_ses-02/anat
342603, sub-33789_ses-02/anat
345459, sub-37348_ses-02/anat
345875, sub-29332_ses-02/anat
345904, sub-04181_ses-02/anat
348627, sub-27960_ses-02/anat
356003, sub-04201_ses-02/anat
356147, sub-04209_ses-02/anat
358328, sub-04170_ses-02/anat
363091, sub-36966_ses-02/anat
363299, sub-35538_ses-02/anat
364139, sub-27869_ses-02/anat
368171, sub-04204_ses-02/anat
372555, sub-04166_ses-02/anat
372995, sub-04211_ses-02/anat
375619, sub-35557_ses-02/anat
378248, sub-04171_ses-02/anat
381123, sub-04210_ses-02/anat
384497, sub-32310_ses-02/anat/surfaces
405939, sub-04178_ses-02/anat
500887, sub-32310_ses-02/anat
565803, sub-27869_ses-02/dwi/eddy
566955, sub-32436_ses-02/dwi/eddy
567395, sub-29096_ses-02/dwi/eddy
567403, sub-29332_ses-02/dwi/eddy
567499, sub-35538_ses-02/dwi/eddy
567515, sub-36144_ses-02/dwi/eddy
567523, sub-34736_ses-02/dwi/eddy
567595, sub-32310_ses-02/dwi/eddy
567667, sub-34359_ses-02/dwi/eddy
567675, sub-26896_ses-02/dwi/eddy
567747, sub-32159_ses-02/dwi/eddy
567891, sub-28982_ses-02/dwi/eddy
568171, sub-34273_ses-02/dwi/eddy
568243, sub-27960_ses-02/dwi/eddy
568267, sub-27934_ses-02/dwi/eddy
568331, sub-37130_ses-02/dwi/eddy
568459, sub-31730_ses-02/dwi/eddy
568475, sub-36487_ses-02/dwi/eddy
568907, sub-04576_ses-02/dwi/eddy
569435, sub-04165_ses-02/dwi/eddy
569979, sub-04209_ses-02/dwi/eddy
570083, sub-04170_ses-02/dwi/eddy
570555, sub-04181_ses-02/dwi/eddy
585579, sub-04166_ses-02/dwi/eddy
586147, sub-04171_ses-02/dwi/eddy
586539, sub-04201_ses-02/dwi/eddy
586659, sub-04178_ses-02/dwi/eddy
586683, sub-04210_ses-02/dwi/eddy
586755, sub-33789_ses-02/dwi/eddy
587443, sub-04211_ses-02/dwi/eddy
587467, sub-35557_ses-02/dwi/eddy
587555, sub-36966_ses-02/dwi/eddy
588107, sub-04204_ses-02/dwi/eddy
940318, sub-35353_ses-02/xfm
968302, sub-04576_ses-02/xfm
996566, sub-04165_ses-02/xfm
1003954, sub-35353_ses-02/dwi
1053127, sub-34736_ses-02/xfm
1063051, sub-04209_ses-02/func/surfaces
1069831, sub-37130_ses-02/xfm
1070583, sub-27934_ses-02/xfm
1071791, sub-36487_ses-02/xfm
1074031, sub-31730_ses-02/xfm
1075447, sub-36144_ses-02/xfm
1075919, sub-26896_ses-02/xfm
1085879, sub-32159_ses-02/xfm
1086719, sub-34359_ses-02/xfm
1090135, sub-29096_ses-02/xfm
1091498, sub-04181_ses-02/xfm
1093895, sub-34273_ses-02/xfm
1102127, sub-37348_ses-02/xfm
1102435, sub-33789_ses-02/func/surfaces
1103730, sub-04170_ses-02/xfm
1103839, sub-32436_ses-02/xfm
1105951, sub-29332_ses-02/xfm
1107859, sub-04201_ses-02/func/surfaces
1131859, sub-36144_ses-02/func/surfaces
1144887, sub-04209_ses-02/xfm
1145135, sub-04201_ses-02/xfm
1147363, sub-37130_ses-02/func/surfaces
1147631, sub-33789_ses-02/xfm
1148811, sub-34736_ses-02/func/surfaces
1151151, sub-27869_ses-02/xfm
1154563, sub-34359_ses-02/func/surfaces
1158795, sub-27934_ses-02/func/surfaces
1158811, sub-04171_ses-02/xfm
